adresse_def,latitude,longitude
"9 Avenue Paul Verlaine 38100 GRENOBLE, 9 Avenue Paul Verlaine, Grenoble",,
"Paris, France",48.8588897,2.3200410217200766
"Nantes, France",47.2186371,-1.5541362
"Ivry-sur-Seine, France",48.8122302,2.3872525
"15 Rue des Halles, Paris",48.8601644,2.3462058
"Montpellier, France",43.6112422,3.8767337
,,
"Romans-sur-Isère, France",45.0458886,5.0528681
"Bordeaux, Bordeaux, France",44.841225,-0.5800364
1484 route de la Croix de May,45.134861615390435,5.333680714167406
"Rue Antoine Bourdelle, Marseille",,
"Roubaix, France",50.6915893,3.1741734
"Saint-Étienne, France",45.4401467,4.3873058
"STATION F, Rue Eugène Freyssinet, Paris",,
"Bihorel, France",49.4543405,1.1159756
"27 Rue du Chemin Vert, 75011 Paris",48.8585802,2.3730884
"Angoulême, France",45.6484505,0.1561947
178 route de Cran Gevrier 74650 CHAVANOD,45.89526711499461,6.074431215585668
