url;name;logo;creation_year;employees;tags;description;site;social_links;business_model;region;department;city;presence;amount_raised;investors_count;round_max;investments
https://lehub.web.bpifrance.fr/startup/beacon-and-eggs-1?queryID=2ee0e6fbab2c347fe0a5f76356ddfcdf;Beacon & eggs;https://upload.prd.hbd.cloud.bpifrance.fr/7307abff-02e3-4903-987a-c39ddaa37842;2017;2 - 5;;The Connected Moments Company;https://bewifi.co;"[{""type"": ""linkedin"", ""url"": ""https://www.linkedin.com/company/beaconeggs/""}, {""type"": ""twitter"", ""url"": ""https://twitter.com/getbewifi""}, {""type"": ""facebook"", ""url"": ""https://www.facebook.com/beaconeggsapp""}, {""type"": ""other"", ""url"": ""https://medium.com/bewifi""}]";B2B;Île-de-france;Val-de-marne;Valenton;France, Monde;15k€;0;BSA;"[{""date"": ""décembre 2020"", ""amount"": ""15k€"", ""round"": ""BSA"", ""investors"": """"}]"
https://lehub.web.bpifrance.fr/startup/carfit?queryID=3b1cc35003cb31692ef09e56846dd949;CARFIT;https://upload.prd.hbd.cloud.bpifrance.fr/fedfcaa0-6d7c-4e15-9acc-38a5003d9367.png;2017;15 - 25;#Automotive, #Big Data, #Database, #Information Technology, #Internet of Things;"CARFIT révolutionne l'industrie des services automobiles en combinant la science des vibrations automobiles NVH (noise vibration harshness) avec de l'intelligence artificielle pour créer des solutions de maintenance prédictive individualisées. 

#bigdata #AI #Automotive #Autonomous Vehicles #Big Data #Database #Information Technology";http://car.fit;[];B2B2C, B2C;Hauts-de-france;Nord;Lille;France, Hong-Kong, États-Unis;4,3M€;5;Seed;"[{""date"": ""août 2018"", ""amount"": ""2M€"", ""round"": ""Seed"", ""investors"": ""Plug and Play,Benhamou Global Ventures,""}, {""date"": ""juin 2016"", ""amount"": ""2,3M€"", ""round"": ""Seed"", ""investors"": ""Radiant Venture Capital,Jaguar Land Rover,...""}]"
https://lehub.web.bpifrance.fr/startup/brennus-analytics?queryID=3b1cc35003cb31692ef09e56846dd949;BRENNUS ANALYTICS;https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/SkiWIdXBz.com/t_api_images/webmwlaou4qb7yrafp0q;2016;+250;#Computer, #Software, #Big Data;"Brennus Analytics développe une solution d’optimisation des prix à destination des entreprises B2B (industrie, distribution et services professionnels). Outil d'aide à la décision adapté aux besoins de chaque client, Brennus assiste au quotidien les équipes en quête de performance commerciale. A partir de l’analyse des données, la solution prédit les comportements et recommande les prix optimaux.

#bigdata #AI #Business Intelligence #Enterprise Software";;[];B2B, Saas;Île-de-france;Paris;Paris;France;48,5M€;7;ACQUISITION;"[{""date"": ""mai 2020"", ""amount"": ""0€"", ""round"": ""ACQUISITION"", ""investors"": ""Pricefx,""}, {""date"": ""octobre 2019"", ""amount"": ""23M€"", ""round"": ""Séries B"", ""investors"": ""Talis Capital,Bain and Company,...""}, {""date"": ""décembre 2018"", ""amount"": ""25M€"", ""round"": ""Séries B"", ""investors"": ""Digital+ Partners,""}, {""date"": ""juin 2017"", ""amount"": ""500k€"", ""round"": ""Seed"", ""investors"": ""ZTP - Ze 12th Player,ZTP (Ze 12th Player),""}]"
https://lehub.web.bpifrance.fr/startup/adways?queryID=3b1cc35003cb31692ef09e56846dd949;ADWAYS;https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/243e7962-f443-4eb7-8ee8-7bc4f770d614;2014;25 - 100;#Web Development, #Video, #Web Design;"Adways propose une solution disruptive permettant à chacun de créer des vidéos interactives très facilement. Les contenus cliquables permettent de booster l'engagement de l'audience principalement pour les acteurs de la publicité. Nous monétisons les vidéos de manière contextuelle et non intrusive pour les éditeurs.

#adtech #software #Video #Web Design #Web Development";http://www.adways.com/;"[{""type"": ""linkedin"", ""url"": ""http://www.linkedin.com/company/adways-sas""}, {""type"": ""twitter"", ""url"": ""https://twitter.com/adways_sas""}, {""type"": ""facebook"", ""url"": ""https://facebook.com/127092547363751""}]";B2B;Île-de-france;Paris;Paris;France;200k€;4;Subvention;"[{""date"": ""mars 2017"", ""amount"": ""0$"", ""round"": ""Subvention"", ""investors"": ""BOOST Programs,""}, {""date"": ""avril 2015"", ""amount"": ""947k€"", ""round"": ""Subvention"", ""investors"": ""EASME - EU Executive Agency for SMEs,""}, {""date"": ""décembre 2014"", ""amount"": ""946,5k€"", ""round"": ""Subvention"", ""investors"": ""European Innovation Council,""}, {""date"": ""octobre 2011"", ""amount"": ""200k€"", ""round"": ""Seed"", ""investors"": ""Business Angels,""}]"
